,pessoa_id,pessoa_idade,salario_ano,propriedade_sit,ano_trabalhado,motivo_emprestimo,pontuacao_emprestimos,vl_total,tx_juros,inadimplencia,tx_renda_divida,hst_inadimplencia,hst_primeiro_credito
19917,oU4AdzJ0-3OIF,29.0,45996.0,3,6.0,3,2,3000.0,9.76,0.0,0.07,0.0,7
19918,iaFRoD8s-dG19,43.0,50000.0,3,0.0,2,2,4500.0,10.74,0.0,0.09,0.0,16
19919,QUORAnym-9z5c,28.0,38000.0,3,7.0,2,3,5000.0,13.49,1.0,0.13,0.0,6
19920,UnzTTQjW-akgg,30.0,105000.0,1,0.0,5,3,6000.0,14.72,0.0,0.06,1.0,10
19921,kcz1Q0BI-BHYC,22.0,34819.0,3,2.0,2,2,16800.0,10.99,1.0,0.48,0.0,4
19923,A81tuFmU-6z4Q,23.0,65000.0,3,0.0,4,1,6000.0,9.63,0.0,0.09,0.0,3
19924,jDyb0qXw-uz6h,31.0,79000.0,1,14.0,1,3,20000.0,13.49,0.0,0.25,0.0,6
19925,DeTLIWJI-4xNK,23.0,34348.0,1,7.0,3,1,5000.0,7.9,0.0,0.15,0.0,3
19926,appCZ4do-LtKX,29.0,62050.0,3,3.0,4,5,15000.0,15.95,1.0,0.21,1.0,8
19927,KdwetK2U-6Xl7,27.0,38400.0,3,6.0,4,2,5000.0,9.88,0.0,0.13,0.0,10
19928,8r2FiNXL-Kxmf,21.0,22000.0,2,5.0,5,1,7350.0,7.66,0.0,0.33,0.0,2
19929,OxEqn5nk-fNcI,27.0,140000.0,1,7.0,2,1,18000.0,7.9,0.0,0.13,0.0,9
19931,gBh8QppQ-H19F,22.0,69000.0,1,6.0,4,1,6500.0,5.99,0.0,0.09,0.0,2
19934,X5JC9KxQ-HNBf,35.0,84175.0,3,4.0,3,1,7000.0,7.29,0.0,0.08,0.0,8
19935,yr2LTOlD-w44m,21.0,16200.0,3,3.0,3,1,1200.0,7.49,0.0,0.07,0.0,3
19937,q9JCcyOU-9YAh,29.0,48000.0,1,8.0,4,1,4500.0,5.42,0.0,0.09,0.0,7
19938,qgeoem9N-IWP6,27.0,45000.0,3,12.0,1,3,10400.0,14.65,0.0,0.23,0.0,9
19939,45zjIWAZ-OiTY,24.0,40000.0,3,0.0,2,1,10000.0,8.49,0.0,0.25,0.0,3
19940,gdFsESTL-53AY,23.0,34884.0,3,3.0,3,1,2000.0,6.92,0.0,0.06,0.0,2
19941,MDLb0B46-FN5o,28.0,123000.0,1,0.0,2,1,10000.0,7.14,1.0,0.08,0.0,6
19942,kNQzn10N-OKfz,23.0,14400.0,3,2.0,5,1,5000.0,6.91,1.0,0.35,0.0,3
19943,32cvO078-WNew,30.0,80000.0,1,4.0,1,1,10750.0,6.17,0.0,0.13,0.0,5
19944,5vcqCXKB-CmqB,34.0,30000.0,3,5.0,4,1,4200.0,5.79,0.0,0.14,0.0,8
19946,qqBMyInS-aGKl,25.0,43000.0,3,2.0,5,1,7800.0,7.14,0.0,0.18,0.0,3
19947,WZYbIwRd-6BHg,23.0,65000.0,3,2.0,5,1,5000.0,5.42,0.0,0.08,0.0,2
19948,uxQId6GI-d2mT,26.0,45500.0,3,2.0,3,2,9400.0,9.91,0.0,0.21,0.0,2
19949,vFtSh5E6-elj5,31.0,144000.0,3,0.0,3,7,13000.0,21.21,1.0,0.09,0.0,6
19950,H8IgoUKx-lJcF,23.0,37700.0,1,4.0,3,4,8000.0,15.62,0.0,0.21,1.0,3
19952,6iioQclO-p4yk,32.0,42000.0,3,4.0,1,2,5000.0,10.08,0.0,0.12,0.0,9
19953,TlTiD1fB-rLm6,47.0,30000.0,3,2.0,6,3,3000.0,12.99,1.0,0.1,0.0,11
19954,AB6ZOmSu-Fw6U,29.0,64402.0,3,1.0,1,1,13500.0,7.49,0.0,0.21,0.0,8
19955,XAJnT6HF-hdCX,27.0,56400.0,3,4.0,2,4,8000.0,16.77,0.0,0.14,1.0,10
19956,xkkvG6o7-wMMd,26.0,29000.0,1,1.0,6,2,11200.0,11.14,1.0,0.39,0.0,4
19959,aES15J9K-GlvN,31.0,65000.0,3,2.0,4,1,8000.0,6.99,0.0,0.12,0.0,9
19960,utgLWfZp-eSMT,25.0,100000.0,3,3.0,5,1,10000.0,6.62,0.0,0.1,0.0,4
19961,8z1I8Cyc-cpuj,22.0,80000.0,1,0.0,4,3,2000.0,14.72,0.0,0.03,1.0,3
19962,AOpb6m2q-WZcv,24.0,65000.0,1,2.0,5,2,12000.0,12.69,0.0,0.18,0.0,4
19963,ngRq1Ail-cbTn,31.0,57400.0,1,6.0,2,1,7600.0,5.99,0.0,0.13,0.0,10
19964,hHibXddk-Jyuo,25.0,40000.0,3,9.0,3,4,5600.0,14.61,0.0,0.14,0.0,2
19965,00LFrMaL-Ccoj,22.0,54000.0,1,0.0,6,1,16000.0,7.51,1.0,0.3,0.0,2
19966,iTJZTJgR-uDaq,23.0,76000.0,3,7.0,4,2,20000.0,10.37,0.0,0.26,0.0,3
19967,uMBb17OO-qik7,23.0,32388.0,1,0.0,5,2,6000.0,10.71,0.0,0.19,0.0,4
19969,g207752f-KPeq,24.0,48000.0,1,3.0,1,2,4800.0,9.99,0.0,0.1,0.0,2
19970,fHkCmw0o-yggI,28.0,50000.0,3,0.0,5,1,7000.0,6.92,0.0,0.14,0.0,9
19971,onR08YxL-3Oe1,48.0,56500.0,1,9.0,1,2,15000.0,11.14,1.0,0.27,0.0,11
19972,6f4bxHZt-GAqh,22.0,67807.0,1,6.0,3,1,6400.0,7.14,0.0,0.09,0.0,3
19973,O97jQ6RM-sY9p,28.0,45300.0,3,3.0,1,3,17000.0,14.72,1.0,0.38,0.0,10
19974,cHx4RQCW-7kT1,23.0,60000.0,3,6.0,1,2,22000.0,10.25,1.0,0.37,0.0,4
19975,Q1tAQwIG-uLWH,24.0,29000.0,3,0.0,5,2,4000.0,9.45,0.0,0.14,0.0,3
19976,J2vjPiPf-gof0,36.0,46000.0,1,6.0,2,3,5350.0,15.27,1.0,0.12,0.0,12
19977,jbau8QBh-HiP0,28.0,35000.0,3,0.0,6,1,5000.0,8.9,1.0,0.14,0.0,9
19978,CyQu921S-EHLE,24.0,69000.0,3,2.0,1,2,12000.0,10.2,1.0,0.17,0.0,4
19979,RPS1jCBb-XNle,26.0,39516.0,3,0.0,4,1,5000.0,7.74,0.0,0.13,0.0,3
19980,zTzMQxRY-8Kzy,31.0,250000.0,1,2.0,4,3,4000.0,14.22,0.0,0.02,1.0,10
19981,7jhfoxa6-ecy1,29.0,87000.0,1,4.0,6,2,15000.0,10.99,0.0,0.17,0.0,5
19982,b9CiLfoJ-YQjR,25.0,35000.0,2,9.0,5,3,4000.0,13.11,0.0,0.11,0.0,4
19983,JB9Rshiv-dQIj,21.0,35000.0,2,5.0,5,1,4000.0,7.29,0.0,0.11,0.0,2
19984,UwgOMplB-wmQ9,46.0,54000.0,3,8.0,2,2,10000.0,11.71,1.0,0.19,0.0,15
19985,MxGQ6xpu-td4O,41.0,35000.0,1,18.0,1,3,1500.0,13.06,0.0,0.04,0.0,12
19986,KF31fMNn-5CJM,34.0,68000.0,1,1.0,3,3,15000.0,11.78,0.0,0.22,1.0,7
19987,uYaTB3Wu-fppE,24.0,128000.0,1,4.0,3,1,12000.0,6.03,0.0,0.09,0.0,2
19988,RhbJtlW5-88OL,28.0,82000.0,1,3.0,6,4,25000.0,16.29,0.0,0.3,0.0,5
19989,62PoNdWK-GRsy,29.0,62532.0,3,6.0,5,3,9000.0,13.49,0.0,0.14,0.0,6
19990,T2tJvZ31-nEIX,24.0,44000.0,3,0.0,4,1,8500.0,7.51,0.0,0.19,0.0,4
19991,KpCXvBds-ABZJ,24.0,90000.0,3,6.0,6,4,15000.0,17.27,0.0,0.17,1.0,4
19993,Xr2DCjCw-3hDY,22.0,38500.0,3,0.0,2,1,5500.0,7.74,0.0,0.14,0.0,2
19994,WsePdzbL-uKZK,24.0,20800.0,2,0.0,2,4,5000.0,16.29,0.0,0.24,1.0,3
19995,lNh1ioty-uL1G,23.0,77004.0,1,6.0,4,1,12000.0,5.79,0.0,0.16,0.0,3
19996,kZkKp548-1nSd,32.0,150000.0,1,11.0,2,1,20000.0,7.9,0.0,0.13,0.0,10
19997,bbXitUZX-hdUp,25.0,156000.0,1,9.0,1,3,10000.0,13.22,0.0,0.06,1.0,2
19998,h0yo6okh-nObb,29.0,58800.0,1,13.0,5,2,16000.0,9.88,0.0,0.27,0.0,6
19999,8hJw4NmS-3slq,23.0,37440.0,3,8.0,3,5,8000.0,14.18,0.0,0.21,0.0,2
20000,qqFaOb4z-Mu1M,22.0,27500.0,3,1.0,3,2,4250.0,10.99,0.0,0.15,0.0,4
20001,QY8u8lpT-bjPx,22.0,50000.0,1,2.0,1,1,11000.0,8.94,0.0,0.22,0.0,4
20003,DnvUYdtP-qrko,37.0,97000.0,3,8.0,6,6,25000.0,19.41,0.0,0.26,0.0,11
20004,jADWf4tf-FNk4,26.0,36000.0,1,8.0,6,3,6000.0,12.29,0.0,0.17,1.0,4
20005,tQRKXufg-4GN9,28.0,60000.0,3,12.0,6,4,5000.0,15.7,0.0,0.08,1.0,7
20007,aTYbg5kv-turX,37.0,54000.0,1,21.0,1,4,25000.0,15.57,1.0,0.46,1.0,16
20008,YbQLAFLU-RRGg,35.0,72000.0,1,3.0,4,1,12800.0,6.62,0.0,0.18,0.0,10
20009,i1cx3PxO-2vHX,31.0,59000.0,1,2.0,1,2,13000.0,11.14,0.0,0.22,0.0,7
20010,mpDz9lk9-iun0,24.0,80004.0,3,3.0,3,1,10000.0,6.62,0.0,0.12,0.0,2
20012,RQWFf0Rp-SNS1,28.0,36960.0,2,6.0,6,3,15000.0,13.61,0.0,0.41,1.0,10
20013,MBQ9vwDS-GO6z,25.0,60000.0,3,9.0,4,2,7000.0,10.36,0.0,0.12,0.0,3
20014,hUw9rah2-9fRN,31.0,30372.0,3,2.0,2,4,20200.0,14.74,1.0,0.67,1.0,5
20015,qywrL1vg-3cEu,24.0,33600.0,3,1.0,1,2,10000.0,9.88,1.0,0.3,0.0,4
20016,ijOaSbwD-RDsK,24.0,38000.0,3,0.0,3,3,12000.0,11.34,1.0,0.32,0.0,3
20017,uTcwUb7Q-DI8B,25.0,38880.0,1,1.0,2,1,9500.0,7.51,0.0,0.24,0.0,4
20018,BzbRTgq5-yEWn,26.0,45000.0,3,5.0,2,2,2000.0,11.49,0.0,0.04,0.0,2
20019,oQcHFARJ-ouWU,25.0,46000.0,3,4.0,3,2,15625.0,9.91,1.0,0.34,0.0,4
20020,APru5grA-6xje,39.0,30000.0,3,3.0,1,3,2300.0,14.79,0.0,0.08,1.0,15
20021,61pZHwEf-lvGQ,27.0,27000.0,3,3.0,4,2,6900.0,9.99,0.0,0.26,0.0,7
20022,w7iTMxXu-MK6b,29.0,38004.0,3,2.0,3,3,1500.0,12.53,1.0,0.04,0.0,8
20023,DbpdMqcb-aOaX,25.0,200000.0,2,0.0,5,2,24000.0,12.18,0.0,0.12,0.0,2
20024,mEsQYd6g-OWPq,23.0,61000.0,3,3.0,5,3,8000.0,13.22,0.0,0.13,1.0,2
20025,3pYmvJL7-3AGb,28.0,39600.0,3,6.0,5,2,4500.0,10.25,0.0,0.11,0.0,10
20026,RAbCC4dy-gCPe,23.0,36000.0,3,5.0,4,2,10000.0,9.99,0.0,0.28,0.0,4
20027,IetsNfoS-G2wU,33.0,48000.0,3,0.0,4,3,4000.0,14.65,0.0,0.08,0.0,5
20028,bXjzuQLY-jCAM,38.0,85000.0,3,9.0,4,2,10000.0,11.12,0.0,0.12,0.0,12
20029,S2elOxRr-I5DJ,25.0,82000.0,3,2.0,2,1,9200.0,6.03,0.0,0.11,0.0,3
20031,WnsZnXno-zk8N,23.0,48000.0,3,7.0,4,4,20000.0,15.65,1.0,0.42,0.0,4
20032,ZOd5NM95-L2hX,24.0,120000.0,1,1.0,4,1,3000.0,6.39,0.0,0.03,0.0,3
20034,Hm6LDMBt-pFw8,21.0,24000.0,3,6.0,5,4,2400.0,16.29,0.0,0.1,0.0,3
20035,gYE6fPgA-xRrd,23.0,56403.0,1,7.0,4,4,30000.0,16.49,1.0,0.45,0.0,2
20036,jgejgj4Q-T2mX,24.0,70000.0,1,4.0,3,2,21000.0,11.99,0.0,0.3,0.0,4
20037,tyZi0wGK-rwag,21.0,45600.0,1,5.0,4,1,6000.0,6.03,0.0,0.13,0.0,4
20038,S7jBQSo0-yKlr,26.0,64000.0,1,5.0,1,4,7000.0,15.95,1.0,0.11,0.0,2
20039,jyGtSlgs-iUsc,30.0,25800.0,1,7.0,1,1,6000.0,5.99,0.0,0.23,0.0,6
20040,P2nyUngi-F1PT,23.0,51000.0,1,7.0,4,1,10000.0,7.14,0.0,0.2,0.0,2
20041,HFfsAwt1-ImcW,27.0,56000.0,1,4.0,1,2,10050.0,9.63,0.0,0.18,0.0,8
20042,b3p30ZuQ-T42o,21.0,28000.0,2,3.0,5,1,4000.0,7.88,0.0,0.14,0.0,3
20043,vCjd6Hmq-4eOx,27.0,109000.0,1,7.0,3,1,3950.0,6.03,0.0,0.04,0.0,7
20046,E5jCffBY-qcyI,24.0,54000.0,1,9.0,4,3,15600.0,13.61,0.0,0.29,1.0,4
20047,qJUpNOvJ-uYAP,34.0,54072.0,1,12.0,2,2,7000.0,11.89,0.0,0.13,0.0,9
20048,Kf6gImcE-xbaw,32.0,30000.0,3,1.0,3,2,11450.0,9.99,1.0,0.38,0.0,6
20049,HlLwWbOY-QK8E,28.0,111000.0,1,12.0,1,6,25000.0,19.79,1.0,0.23,0.0,5
20050,bOjjTiU2-QRZL,23.0,60000.0,1,6.0,2,1,7000.0,6.54,0.0,0.12,0.0,2
20051,ENJ47R41-fSIa,22.0,31200.0,3,0.0,1,1,2700.0,6.91,0.0,0.09,0.0,4
20052,HEY4T7RA-GwQc,23.0,90000.0,3,5.0,4,1,8000.0,6.92,0.0,0.09,0.0,3
20053,c6WxXTli-ZKNp,22.0,126500.0,3,1.0,1,3,19200.0,13.79,0.0,0.15,0.0,4
20054,1IlPqkBJ-zQpv,23.0,55000.0,1,2.0,3,1,7000.0,8.59,0.0,0.13,0.0,2
20055,8GuKpWll-WmlA,23.0,28800.0,1,7.0,1,2,8400.0,9.63,0.0,0.29,0.0,3
20056,hq0EgrWZ-k1dN,26.0,55000.0,1,2.0,4,1,11300.0,7.29,0.0,0.21,0.0,4
20059,zyuj4Die-kRoq,25.0,60000.0,4,3.0,1,2,5000.0,11.14,0.0,0.08,0.0,3
20061,gxUdZXUu-rn88,26.0,120000.0,1,5.0,3,2,13000.0,10.99,0.0,0.11,0.0,2
20062,IOAK7wBA-FuRW,29.0,52000.0,3,2.0,6,4,11000.0,15.62,1.0,0.21,1.0,10
20063,tcAWcziL-wNSu,22.0,20796.0,3,1.0,1,4,10775.0,15.37,1.0,0.52,1.0,2
20065,ZYHGSgmD-rgw4,28.0,82300.0,3,3.0,5,1,3600.0,9.63,0.0,0.04,0.0,8
20066,wqE7aw0Z-UH3e,33.0,30929.0,1,12.0,3,1,5300.0,7.68,0.0,0.17,0.0,7
20067,EiLqvW9T-M4wZ,33.0,30000.0,3,3.0,1,2,11975.0,9.99,1.0,0.4,0.0,8
20068,QhY4wi0G-doC8,23.0,24000.0,3,1.0,5,2,5500.0,10.99,0.0,0.23,0.0,4
20070,8hIbWzC3-PncU,25.0,42500.0,3,1.0,1,2,12000.0,12.69,0.0,0.28,0.0,3
20071,fLwL31X9-b09l,21.0,44000.0,3,0.0,2,4,5500.0,15.28,1.0,0.13,0.0,3
20072,a10lllAh-bK2z,52.0,71520.0,3,0.0,3,5,7000.0,16.82,1.0,0.1,1.0,24
20074,g9BgqUY9-LWaW,29.0,110000.0,1,0.0,5,1,15000.0,8.94,0.0,0.14,0.0,7
20075,fXUfKjJy-Urlj,25.0,125000.0,1,9.0,2,2,12000.0,9.91,0.0,0.1,0.0,3
20077,38M5a2op-d8GA,26.0,71004.0,3,0.0,1,4,20000.0,13.36,1.0,0.28,0.0,2
20078,njhdtaWa-YjYj,24.0,90000.0,1,0.0,1,3,24000.0,13.06,0.0,0.27,1.0,2
20080,SFQ4hYkm-GYou,22.0,80750.0,1,1.0,4,4,24000.0,15.99,1.0,0.25,0.0,4
20081,Ldi9vc0q-lDp9,27.0,85000.0,3,6.0,6,2,9000.0,10.36,0.0,0.11,0.0,5
20082,C0YoCWbd-ijJk,28.0,105000.0,3,5.0,1,3,5500.0,15.23,0.0,0.05,0.0,7
20083,dYoE39RU-b55U,22.0,86000.0,1,7.0,3,3,18000.0,13.48,1.0,0.21,0.0,2
20084,hhhhMPRX-yD9A,21.0,27600.0,2,3.0,3,3,1000.0,15.27,0.0,0.04,1.0,2
20085,yNc3AMUJ-g9M0,25.0,48000.0,3,3.0,1,2,2000.0,10.74,0.0,0.04,0.0,2
20087,oyYKtO7D-Th33,25.0,44000.0,3,1.0,4,4,8000.0,12.92,1.0,0.18,0.0,2
20088,tXzpD63u-jQ7x,24.0,73000.0,3,0.0,5,5,22400.0,16.7,1.0,0.31,1.0,4
20089,sKGCuXY9-jeQW,25.0,115000.0,1,4.0,2,1,20000.0,6.91,0.0,0.17,0.0,4
20090,mgUd3xbw-zc7w,37.0,40680.0,1,6.0,1,4,8000.0,15.21,1.0,0.2,0.0,13
20091,SoqAx1G1-IqQS,33.0,65000.0,3,1.0,3,2,4700.0,9.45,0.0,0.07,0.0,7
20092,LgypOYZg-i8JL,22.0,14400.0,3,0.0,1,2,7200.0,11.71,1.0,0.5,0.0,4
20094,pcGh7n3E-NNXE,35.0,31000.0,1,2.0,2,2,8875.0,11.99,1.0,0.29,0.0,7
20095,MqYBRNH7-5c4B,22.0,70000.0,3,5.0,2,1,13600.0,7.29,0.0,0.19,0.0,4
20096,MWWXZaqO-vnve,29.0,51504.0,3,0.0,4,2,5500.0,11.89,0.0,0.11,0.0,9
20097,hutvdvF3-5a12,26.0,37680.0,3,5.0,4,4,2000.0,14.96,1.0,0.05,1.0,2
20098,m8L35Htc-wyH7,25.0,44000.0,3,9.0,4,1,9000.0,7.29,0.0,0.2,0.0,3
20100,PZMTzrF8-rebw,35.0,143485.0,1,10.0,2,2,8000.0,10.62,0.0,0.06,0.0,7
20101,L1TjTdUF-KrYE,27.0,106000.0,3,5.0,1,2,15000.0,10.75,0.0,0.14,0.0,6
20102,kAlNx7Er-lUmv,26.0,45000.0,3,2.0,1,1,9050.0,7.29,0.0,0.2,0.0,3
20103,4uShMdO6-CyG8,45.0,26748.0,2,8.0,4,1,4000.0,7.88,0.0,0.15,0.0,12
20104,MB59rWQz-yWLu,25.0,45000.0,1,0.0,5,2,7500.0,10.39,0.0,0.17,0.0,3
20105,dgAaSjYz-gJIX,22.0,76000.0,3,6.0,3,2,7000.0,11.12,0.0,0.09,0.0,2
20106,WqWogdnB-iyZc,26.0,99085.0,1,10.0,5,4,8000.0,14.91,0.0,0.08,1.0,4
20107,x9T5EOfw-0rA7,25.0,110000.0,1,1.0,2,2,25000.0,11.49,0.0,0.23,0.0,4
20108,SkSA1P9G-8Xjn,38.0,48000.0,1,9.0,6,2,7800.0,10.65,0.0,0.16,0.0,12
20110,FdO3usIX-XXms,33.0,92000.0,1,8.0,2,3,20000.0,13.06,0.0,0.22,0.0,9
20111,Kdd8Sz2h-i9uN,31.0,53000.0,1,2.0,4,2,7200.0,10.37,0.0,0.14,0.0,8
20112,fS3wBoN1-CERS,22.0,36996.0,3,5.0,3,1,10000.0,7.51,0.0,0.27,0.0,4
20113,R2k5Ergn-fOdj,28.0,50000.0,3,4.0,1,4,15000.0,14.91,1.0,0.3,0.0,7
20114,rO48oIEy-fOiz,25.0,33000.0,3,0.0,5,3,10000.0,15.96,1.0,0.3,1.0,3
20115,asLBZcpm-kCZD,22.0,72000.0,1,6.0,4,1,5000.0,6.54,0.0,0.07,0.0,2
20116,fr27S6wc-1Cvs,26.0,83600.0,1,2.0,6,1,13600.0,7.66,0.0,0.16,0.0,3
20118,AgBAdMeS-2zRT,38.0,36000.0,3,13.0,3,2,7500.0,11.36,0.0,0.21,0.0,13
20119,kotbGOtl-Rz5J,23.0,39000.0,1,8.0,3,1,10000.0,7.51,0.0,0.26,0.0,2
20120,QlXaCX3t-Q85L,27.0,40000.0,3,8.0,4,2,12000.0,10.37,0.0,0.3,0.0,9
20123,O5mzA8KN-wtKC,35.0,273700.0,1,8.0,4,4,25000.0,14.59,1.0,0.08,0.0,6
20124,k5SQwikK-OO3Q,28.0,55000.0,3,6.0,4,3,12000.0,14.27,0.0,0.22,1.0,10
20125,LP3nnAaH-75KA,36.0,30000.0,3,1.0,1,2,5000.0,11.14,0.0,0.17,0.0,17
20126,fCLI3yET-Uikd,31.0,108000.0,1,11.0,1,3,35000.0,13.49,1.0,0.32,0.0,10
20128,yU4o9N7i-NI4o,28.0,71000.0,3,0.0,6,4,3200.0,14.61,1.0,0.05,1.0,5
20129,xyIfCaaG-CW5K,26.0,25500.0,1,8.0,6,3,5600.0,11.91,0.0,0.22,0.0,4
20130,7El5tLCy-zwgL,22.0,38400.0,3,6.0,1,2,3600.0,12.69,0.0,0.09,0.0,3
20131,q9vg3dAm-yMN7,27.0,42000.0,3,2.0,3,1,3000.0,8.94,0.0,0.07,0.0,5
20132,j9cPXqK2-5pdb,27.0,116000.0,1,4.0,2,4,25000.0,13.36,1.0,0.22,0.0,6
20133,HQzOZKXE-Z1pC,22.0,106000.0,1,5.0,3,6,25000.0,18.09,0.0,0.24,0.0,3
20134,ZTlNGvyz-XCeZ,26.0,244800.0,1,11.0,4,4,12000.0,16.29,1.0,0.04,1.0,4
20135,PegtXpTN-SDKx,25.0,150000.0,1,9.0,2,2,20000.0,8.88,0.0,0.13,0.0,4
20136,lPgg8cFp-CokY,23.0,69000.0,3,4.0,3,4,3800.0,15.28,1.0,0.06,1.0,3
20137,otpEpRjY-ibPG,25.0,88668.0,1,2.0,4,1,3000.0,6.62,0.0,0.03,0.0,2
20138,oGhOcH4R-lFcN,33.0,58000.0,3,5.0,4,1,6400.0,7.51,0.0,0.11,0.0,8
20140,aZqkg2te-lODm,32.0,20004.0,3,16.0,2,1,3500.0,6.39,0.0,0.17,0.0,5
20141,u3hsQ2b0-kmXF,27.0,54216.0,1,4.0,2,1,9000.0,5.99,0.0,0.17,0.0,5
20142,ODIKRyDa-9tWK,24.0,67430.0,1,8.0,4,3,12000.0,12.87,0.0,0.18,1.0,4
20143,tTlOHrbr-pSeK,22.0,54000.0,3,1.0,1,1,5000.0,6.54,1.0,0.09,0.0,3
20144,0MnyqsOp-MQLy,23.0,58000.0,1,7.0,4,3,7200.0,11.97,1.0,0.12,0.0,3
20145,3orHQWmC-ZLAy,25.0,33600.0,3,5.0,1,2,1000.0,11.86,0.0,0.03,0.0,2
20146,8tjp7wAh-56GI,25.0,100000.0,3,2.0,6,4,21000.0,16.49,1.0,0.21,1.0,3
20148,iRbNEJki-1ms8,22.0,66614.0,1,6.0,4,5,11000.0,17.99,1.0,0.14,1.0,2
20149,sf7qXvvl-EgiT,23.0,35000.0,3,1.0,3,1,10000.0,5.79,0.0,0.29,0.0,2
20150,GuYOBo03-JzcP,32.0,45000.0,1,8.0,1,1,2100.0,6.99,0.0,0.05,0.0,10
20151,GGgdX9f8-WJFW,27.0,180000.0,3,4.0,2,2,8000.0,10.37,0.0,0.04,0.0,5
20152,kQRNaYjU-hngB,32.0,24000.0,2,5.0,3,2,2850.0,11.83,0.0,0.12,0.0,7
20153,bkDJAYB9-hBtS,32.0,61900.0,3,4.0,6,3,1500.0,13.23,0.0,0.02,1.0,7
20154,D1ROlIaq-AhrC,34.0,39996.0,3,6.0,1,1,1200.0,7.88,0.0,0.03,0.0,8
20155,rJuFrMZh-rJeP,28.0,103832.0,3,12.0,3,5,24000.0,16.69,0.0,0.23,0.0,5
20156,w2Kx2bfl-0xEN,26.0,71760.0,1,10.0,2,5,3000.0,19.91,0.0,0.04,0.0,3
20157,aXZJ6sYo-Z2H2,29.0,40000.0,1,3.0,4,1,6600.0,8.0,0.0,0.17,0.0,10
20158,YBhnIovi-FeAf,27.0,35000.0,2,2.0,6,2,6000.0,11.99,0.0,0.17,0.0,10
20159,KLh0v2Ql-wD0x,28.0,48000.0,3,1.0,3,1,2500.0,8.49,0.0,0.05,0.0,5
20160,eZyHnhY1-yFbW,28.0,100000.0,2,7.0,6,3,20000.0,12.68,0.0,0.2,1.0,6
20162,aFHaYMjH-JDlR,25.0,40000.0,3,0.0,4,3,4700.0,12.09,0.0,0.12,1.0,3
20163,dLzxyHEd-3HAD,29.0,100000.0,1,3.0,1,1,4800.0,5.79,0.0,0.05,0.0,9
20164,lUj8wfr6-cr97,23.0,69996.0,1,5.0,5,2,12000.0,11.11,0.0,0.17,0.0,2
20165,apat3v7Z-jOMi,40.0,30000.0,3,4.0,4,4,5500.0,14.74,0.0,0.18,0.0,12
20167,IAfqQDUI-4Cu0,32.0,60000.0,1,2.0,5,2,7125.0,9.99,0.0,0.12,0.0,7
20168,o5HyCXce-7NMB,23.0,42000.0,3,1.0,6,3,6000.0,12.99,1.0,0.14,0.0,4
20169,mUaQPh82-s6gS,48.0,54000.0,1,1.0,6,1,2000.0,5.99,0.0,0.04,0.0,16
20170,Pm19O8MP-25WF,22.0,28880.0,1,4.0,4,1,2000.0,8.59,0.0,0.07,0.0,3
20171,7yo8uNJW-8r2U,28.0,43500.0,1,12.0,2,2,4000.0,12.69,0.0,0.09,0.0,5
20172,6xXwIodf-gKap,26.0,96000.0,1,10.0,6,5,24000.0,19.42,0.0,0.25,0.0,4
20173,ZiMK0LNM-YOy8,21.0,54036.0,1,3.0,4,2,8000.0,11.36,0.0,0.15,0.0,2
20174,Fui6RowA-WYu6,27.0,45000.0,1,9.0,4,2,12000.0,9.76,0.0,0.27,0.0,6
20175,Wz5OMELU-OWfw,32.0,64000.0,1,3.0,6,1,13000.0,7.88,0.0,0.2,0.0,7
20176,xCikFpz1-7ZL3,29.0,40000.0,3,12.0,1,2,16000.0,11.71,1.0,0.4,0.0,6
20177,tl4YxtvD-eBou,25.0,107000.0,1,0.0,4,3,7000.0,12.87,0.0,0.07,0.0,2
20178,kDPNv0k6-aIRO,25.0,35000.0,3,2.0,3,1,2700.0,7.88,0.0,0.08,0.0,2
20179,DD6RqNPu-Y4av,27.0,70000.0,3,4.0,3,2,20000.0,11.48,0.0,0.29,0.0,9
20180,zf3qHues-4a2b,25.0,80000.0,1,10.0,3,4,25000.0,15.31,0.0,0.31,0.0,2
20181,phKmsOnH-99Q0,39.0,21600.0,2,0.0,4,1,6000.0,6.03,0.0,0.28,0.0,12
20182,SS2MBt6j-8lry,35.0,65000.0,1,5.0,1,2,25000.0,9.51,0.0,0.38,0.0,10
20183,pYCNTny7-Syj4,24.0,61100.0,1,4.0,1,4,25000.0,17.49,1.0,0.41,0.0,3
20184,f4bcAd82-H7q9,24.0,40000.0,1,3.0,4,2,10500.0,11.36,0.0,0.26,0.0,2
20185,ZptGhb7b-yZrj,28.0,40000.0,2,2.0,3,1,3600.0,6.99,0.0,0.09,0.0,10
20186,s9TwtjGd-aFMK,26.0,70000.0,3,4.0,5,3,4000.0,13.06,0.0,0.06,1.0,4
20187,g5iAfMMn-UzBL,33.0,80000.0,1,4.0,4,2,12000.0,11.14,0.0,0.15,0.0,6
20188,6yQurJ8o-e5Dg,51.0,58000.0,3,2.0,4,5,1500.0,19.03,1.0,0.03,0.0,24
20189,ygKyHAlb-Fkfi,22.0,79618.0,1,6.0,3,1,7000.0,7.74,0.0,0.09,0.0,3
20190,tXg3h4Kt-Ny0j,24.0,57000.0,1,8.0,6,2,19725.0,9.99,0.0,0.35,0.0,2
